"","x"
"corr[1]",0.914970438141891
"corr[2]",0.451438689722059
"corr[3]",0.930371322260914
"cov[1,1,1]",0.000769844101177693
"cov[1,1,2]",0.000370474758737156
"cov[1,1,3]",0.000797191022890194
"cov[1,2,1]",0.000415383516880243
"cov[1,2,2]",0.000155400576499999
"cov[1,2,3]",0.000483034907031091
"cov[2,1,1]",0.000415383516880243
"cov[2,1,2]",0.000155400576499999
"cov[2,1,3]",0.000483034907031091
"cov[2,2,1]",0.000256696505338538
"cov[2,2,2]",0.000130852689087374
"cov[2,2,3]",0.000326749411444487
"muOfGaussian[1,1]",40.7938253693282
"muOfGaussian[1,2]",-73.9621110189388
"muOfGaussian[2,1]",40.7629034549768
"muOfGaussian[2,2]",-73.9792501140656
"muOfGaussian[3,1]",40.7755325046984
"muOfGaussian[3,2]",-73.9630106614221
"pk[1]",0.3221078278967
"pk[2]",0.268695416073554
"pk[3]",0.409196756029746
